round,sensor_id,sensor_type,source,response_time_us
1,101,temperature,master,8357
1,102,humidity,master,486
1,103,motion,master,457
1,104,temperature,master,603
1,201,temperature,slave1,9588
1,202,humidity,slave1,1512
1,203,motion,slave1,1789
1,204,co2,slave1,1755
1,301,temperature,slave2,9954
1,302,humidity,slave2,2348
1,303,motion,slave2,2814
1,304,smoke,slave2,2590
2,101,temperature,cache,182
2,102,humidity,cache,90
2,103,motion,cache,205
2,104,temperature,cache,159
2,201,temperature,cache,66
2,202,humidity,cache,120
2,203,motion,cache,117
2,204,co2,cache,139
2,301,temperature,cache,109
2,302,humidity,cache,108
2,303,motion,cache,73
2,304,smoke,cache,217
